CID100000085,C0015544
CID100000085,C0020615
CID100000085,C0022661
CID100000085,C0025521
CID100000085,C0026827
CID100000085,C0085584
CID100000085,C0151786
CID100000085,C0878544
CID100000085,C1142132
CID100000119,C0001768
CID100000119,C0008049
CID100000119,C0009447
CID100000119,C0009450
CID100000119,C0019158
CID100000119,C0019159
CID100000119,C0019163
CID100000119,C0025007
CID100000119,C0035920
CID100000119,C0040100
CID100000119,C0042721
CID100000119,C0085393
CID100000119,C0086438
CID100000119,C0221026
CID100000119,C0740380
CID100000119,C0854268
CID100000119,C0917801
CID100000137,C0022602
CID100000137,C0162568
CID100000137,C0555198
CID100000143,C0002871
CID100000143,C0002888
CID100000143,C0002892
CID100000143,C0006826
CID100000143,C0009402
CID100000143,C0016412
CID100000143,C0023895
CID100000143,C0024523
CID100000143,C0029463
CID100000143,C0162429
CID100000143,C0205707
CID100000143,C0948380
CID100000143,C1527249
CID100000158,C0000729
CID100000158,C0000814
CID100000158,C0007222
CID100000158,C0011849
CID100000158,C0013274
CID100000158,C0015927
CID100000158,C0015934
CID100000158,C0020217
CID100000158,C0020538
CID100000158,C0020649
CID100000158,C0027497
CID100000158,C0032914
CID100000158,C0042963
CID100000158,C0221007
CID100000158,C0549315
CID100000158,C0595939
CID100000158,C1504421
CID100000159,C0009782
CID100000159,C0011644
CID100000159,C0020538
CID100000159,C1701939
CID100000159,C3203102
CID100000175,C0009450
CID100000175,C0020625
CID100000187,C0026205
CID100000191,C0004238
CID100000191,C0004239
CID100000191,C0018799
CID100000191,C0030590
CID100000191,C0036572
CID100000191,C0039240
CID100000191,C0042514
CID100000191,C0043202
CID100000191,C0151744
CID100000191,C0232201
CID100000191,C0429097
CID100000191,C0857153
CID100000191,C1258192
CID100000191,C1956346
CID100000206,C0004610
CID100000206,C0009450
CID100000206,C0011854
CID100000206,C0011884
CID100000206,C0013604
CID100000206,C0018802
CID100000206,C0020456
CID100000206,C0020459
CID100000206,C0020488
CID100000206,C0020598
CID100000206,C0020615
CID100000206,C0020625
CID100000206,C0022658
CID100000206,C0023890
